mobilename,price,ram
"realme 9i (Prism Black, 64 GB)","₹13,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme 9i (Prism Blue, 128 GB)","₹15,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme Narzo 50i (Mint Green, 32 GB)","₹7,499",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme Narzo 50i (Carbon Black, 32 GB)","₹7,499",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme 8i (Space Black, 64 GB)","₹13,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 8 (Cyber Silver, 128 GB)","₹16,999",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme 8 (Cyber Silver, 128 GB)","₹17,999",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme 8 (Cyber Black, 128 GB)","₹17,999",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme 8 (Cyber Black, 128 GB)","₹15,999",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme 8 (Cyber Silver, 128 GB)","₹15,999",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme C25Y (Glacier Blue, 128 GB)","₹12,199",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme Narzo 30 (Racing Blue, 64 GB)","₹13,499",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme Narzo 30 (Racing Silver, 64 GB)","₹14,499",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme Narzo 50i (Mint Green, 64 GB)","₹8,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme Narzo 50i (Carbon Black, 64 GB)","₹8,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 8i (Space Purple, 128 GB)","₹15,999",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme 8i (Space Black, 128 GB)","₹15,999",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme 8i (Space Purple, 64 GB)","₹13,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme Narzo 30 (Racing Silver, 128 GB)","₹15,499",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme Narzo 30 (Racing Blue, 128 GB)","₹15,499",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme 8s 5G (Universe Blue, 128 GB)","₹19,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme C25s (Watery Grey, 128 GB)","₹11,999",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme C25s (Watery Blue, 128 GB)","₹11,999",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme 8 5G (Supersonic Blue, 128 GB)","₹16,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
